HR,Name,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType
1,,,1.2912499999999998,45.229166666666664,6.7,0.07,"  A1Vn"
2,,,1.2658333333333331,-0.5030555555555555,6.29,1.1," gG9"
3," 33    Psc",Var?,1.3337499999999998,-5.7075,4.61,1.04,"  K0IIIbCN-0.5"
4," 86    Peg",,1.4249999999999998,13.396111111111109,5.51,0.9,"  G5III"
5,,V640 Cas,1.5666666666666664,58.43666666666666,5.96,0.67,"  G5V"
6,,,1.5791666666666664,-49.074999999999996,5.7,0.52,"  G1IV"
7," 10    Cas",,1.6104166666666664,64.19611111111111,5.59,-0.03,"  B9III"
8,,"   33",1.653333333333333,29.021388888888886,6.13,0.75,"  K0V"
9,,,1.7087499999999998,-23.107499999999998,6.18,0.38,"  A7V"
10,,,1.8258333333333332,-17.386388888888888,6.19,0.14,"  A6Vn"
11,,Var?,1.9337499999999999,-2.5488888888888885,6.43,-0.14,"  B8IIIpSi"
12,,"   46",1.9449999999999998,-22.508888888888887,5.94,0.14,"  A2Vp:"
13,,,2.014583333333333,-33.52944444444444,5.68,1.12,"  K1III"
14,,AP Psc,2.0504166666666666,-2.4477777777777776,6.07,1.38,"  K2III+F"
15," 21Alp And",Alp And,2.097083333333333,29.09055555555555,2.06,-0.11,"  B8IVpMnHg"
16,,,2.0725,-8.823888888888888,5.99,1.04," gG8"
17,,,2.170833333333333,36.626666666666665,6.19,0.48,"  F8IV"
18,,"   51",2.139166666666666,-17.577499999999997,6.06,1.67,"  M0III"
19,,,2.2175,25.462777777777774,6.23,0.97,"  K0III"
20,,,2.3341666666666665,79.7147222222222,6.01,0.19,"  A7IV"
21," 11Bet Cas",Bet Cas,2.294583333333333,59.149722222222216,2.27,0.34,"  F2III-IV"
22," 87    Peg",,2.26,18.21194444444444,5.53,1.04,"  G9III"
23,,,2.26,-54.00194444444444,6.33,0.74,"  G4IV"
24,"   Kap1Scl",,2.3375,-27.987777777777776,5.42,0.42,"  F2V"
25,"   Eps Phe",,2.3529166666666663,-45.747499999999995,3.88,1.03,"  K0III"
26," 34    Psc",,2.509583333333333,11.145555555555553,5.51,-0.07,"  B9Vn"
27," 22    And",,2.5804166666666664,46.072222222222216,5.03,0.4,"  F2II"
28,,,2.62375,57.16555555555555,6.74,-0.08,"  B7IV"
29,,,2.578333333333333,-5.24861111111111,5.84,0.98,"  K1III"
30,"   Gam3Oct",,2.5087499999999996,-82.22388888888888,5.28,1.05,"  G8III"
31,,,2.678333333333333,-12.579999999999998,5.85,1.01,"  K0IV"
32,,,2.660833333333333,-73.22444444444443,6.64,0.37,"  F2V+F6V"
33,"  6    Cet",,2.8162499999999997,-15.468055555555553,4.89,0.49,"  F7V"
34,"   Kap2Scl",,2.893333333333333,-27.79972222222222,5.41,1.34,"  K5III"
35,"   The Scl",,2.933333333333333,-35.13305555555555,5.25,0.44,"  F4V"
36,,,2.9962499999999994,48.152499999999996,6.16,1.45," gK4"
37,,,3.041666666666666,-17.938333333333333,5.25,1.48,"  K5III"
38,,,3.2099999999999995,37.69333333333333,6.73,-0.13,"  B2V"
39," 88Gam Peg",Gam Peg,3.309166666666666,15.183611111111109,2.83,-0.23,"  B2IV"
40,,,3.3499999999999996,26.98722222222222,6.3,0.65,"  G0III"
41," 23    And",,3.378333333333333,41.03527777777777,5.72,0.31,"  F0IV"
42,,"   96",3.425416666666666,-26.02194444444444,5.94,1.55,"  K5III"
43,,,3.434166666666666,-26.284722222222218,6.31,1.48,"  K5III"
44,,,3.509583333333333,33.206111111111106,6.25,-0.01,"  A1V"
45," 89Chi Peg","   99",3.650833333333333,20.206666666666663,4.8,1.57,"  M2+III"
